scenario_id,algorithm,run_index,seed,penalized_objective,area,volume,total_height,rel_volume_error,rel_height_error,monotonic_violation,feasible,n_evals,time_s,budget,decision_vector
S5,PSO,1,10001,9396.752683141483,7780.0726246875665,70386.71341719212,36.24741321136139,0.0009487118485796458,0.006920185990098891,0.0,False,10000,0.422579288482666,10000,"[2.0, 2.0, 2.0, 5.5, 5.5, 5.5, 2.0, 5.5, 2.0, 4.247413211361387]"
S5,PSO,2,10002,7821.687729553284,7821.510469514125,70320.05591469028,36.49719532401094,7.951463350611108e-07,7.684043805647733e-05,0.0,True,10000,0.4227938652038574,10000,"[2.0, 2.0, 3.025442965175764, 5.5, 2.0, 5.5, 5.5, 5.5, 2.0, 3.4717523588351753]"
S5,PSO,3,10003,7760.002605382825,7759.751232230096,70320.21561026975,36.49667140197045,3.0661301158722998e-06,9.119446656294345e-05,0.0,True,10000,0.4217798709869385,10000,"[2.0, 2.0, 2.60805657532972, 3.3392654427068402, 5.5, 4.768503469168389, 2.009802152631349, 5.5, 5.5, 3.2710437621341537]"
S5,PSO,4,10004,7821.835276944578,7821.796104541742,70319.20390778041,36.50077541174951,1.1320992883852926e-05,2.1244157520773615e-05,0.0,True,10000,0.4230828285217285,10000,"[2.0, 2.0, 4.072514601960585, 2.428260809788922, 5.5, 5.5, 5.5, 2.0, 5.5, 2.0]"
S5,PSO,5,10005,7755.085979172548,7754.862547073596,70320.60729729498,36.49695700509831,8.636195889887488e-06,8.33697233339884e-05,0.0,True,10000,0.42135024070739746,10000,"[2.0, 2.0, 2.3559264927932, 3.804549788966467, 4.8742113642546165, 4.155294617164036, 3.935664174734881, 4.5001343618212495, 4.930015857722731, 3.9411603476411305]"
S5,PSO,6,10006,7748.05682322625,7747.9294448679475,70319.96575405788,36.49759422432146,4.870014522561461e-07,6.59116624257428e-05,0.0,True,10000,0.4219191074371338,10000,"[2.0063006658830838, 2.0, 2.9959573243528705, 3.56648183138093, 4.184436809920758, 5.5, 3.5384936658574957, 4.654839602909654, 4.786978951907474, 3.264105372109193]"
S5,PSO,7,10007,7794.9229016234,7794.678419839866,70320.20291197447,36.4967162403937,2.8855514003031313e-06,8.996601661089219e-05,0.0,True,10000,0.4222290515899658,10000,"[2.0, 2.0, 2.631074716884027, 5.5, 2.0, 5.5, 4.174360882779291, 5.5, 3.9158035020772686, 3.2754771386531183]"
S5,PSO,8,10008,7842.502034713594,7842.331652947772,70320.0157100271,36.497249376987305,2.2340766641942294e-07,7.535953459437193e-05,0.0,True,10000,0.4223780632019043,10000,"[2.5681660178144035, 2.0, 2.0, 2.0, 3.9290833591729024, 5.5, 5.5, 5.5, 2.0, 5.5]"
S5,PSO,9,10009,7824.995030116113,7824.7917772009,70319.80773569165,36.496991150648974,2.7341340778243092e-06,8.243422879524107e-05,0.0,True,10000,0.42206525802612305,10000,"[2.0, 3.3450969385389127, 2.0, 2.0, 5.5, 5.330436076559716, 3.446052779273055, 5.5, 5.375405356277294, 2.0]"
S5,BFGS,0,20000,7742.794921917652,7742.564311632199,70320.16388197104,36.496807397104405,2.330517221774071e-06,8.746857248205717e-05,0.0,True,5001,0.18810296058654785,5000,"[1.9999997272192418, 2.2972713110885596, 2.797493416004497, 3.489045146245248, 4.012230913605498, 4.5491335548611564, 5.4253746727264325, 4.450495307764025, 4.049142032007076, 3.4266213155826724]"
S5,BFGS,1,20001,7742.794921917649,7742.5643116325755,70320.16388197023,36.49680739710696,2.3305172103924536e-06,8.746857241197625e-05,0.0,True,3546,0.1374671459197998,5000,"[1.9999997272192243, 2.2972713105339455, 2.7974934162607337, 3.489045146916303, 4.012230914257237, 4.5491335540322835, 5.425374671579366, 4.450495308606614, 4.049142031994008, 3.4266213157072483]"
S5,BFGS,2,20002,7742.79492191765,7742.564311633241,70320.16388197234,36.49680739711179,2.330517240398536e-06,8.746857227979583e-05,0.0,True,5001,0.18944096565246582,5000,"[1.9999997272192425, 2.2972713109413445, 2.7974934161528253, 3.4890451476299336, 4.012230912772913, 4.5491335505152595, 5.425374678236029, 4.4504953066963475, 4.049142031352197, 3.426621315595694]"
S5,BFGS,3,20003,7742.794921917652,7742.5643116325855,70320.16388197009,36.496807397107005,2.3305172083230687e-06,8.746857241080823e-05,0.0,True,5001,0.18960285186767578,5000,"[1.9999997272192709, 2.297271310548914, 2.797493416249926, 3.4890451469650947, 4.012230914204893, 4.54913355385493, 5.425374671682228, 4.45049530875783, 4.049142031937787, 3.4266213156861327]"
S5,BFGS,4,20004,7742.794921917649,7742.564311632725,70320.16388196994,36.496807397107965,2.3305172062536837e-06,8.746857238452789e-05,0.0,True,5001,0.2001810073852539,5000,"[1.9999997272192267, 2.297271310672144, 2.7974934162570726, 3.4890451469741914, 4.012230913659392, 4.549133554707905, 5.425374671961782, 4.450495308259286, 4.0491420317980955, 3.4266213155988634]"
S5,BFGS,5,20005,7742.79492191765,7742.56431163257,70320.16388197028,36.49680739710693,2.330517211013269e-06,8.74685724129496e-05,0.0,True,3936,0.15218186378479004,5000,"[1.9999997272192218, 2.29727131054503, 2.7974934162408363, 3.4890451469105925, 4.012230914222058, 4.549133554048963, 5.425374671535895, 4.450495308649974, 4.049142032022833, 3.4266213157115244]"
S5,BFGS,6,20006,7742.794921917653,7742.564311632575,70320.16388197025,36.49680739710694,2.330517210599392e-06,8.746857241256026e-05,0.0,True,5001,0.1907639503479004,5000,"[1.999999727219219, 2.2972713105423077, 2.797493416235706, 3.4890451469280284, 4.012230914224119, 4.549133554050168, 5.425374671531968, 4.450495308645713, 4.049142032016317, 3.4266213157134]"
S5,BFGS,7,20007,7742.794921917651,7742.564311632573,70320.16388197023,36.49680739710694,2.3305172103924536e-06,8.746857241256026e-05,0.0,True,3151,0.12248516082763672,5000,"[1.9999997272192207, 2.2972713105419538, 2.7974934162358727, 3.489045146925962, 4.012230914225143, 4.54913355404781, 5.425374671529846, 4.4504953086474925, 4.04914203201947, 3.426621315714171]"
S5,BFGS,8,20008,7742.794921917649,7742.5643116325655,70320.16388197026,36.49680739710689,2.3305172108063304e-06,8.746857241392294e-05,0.0,True,3718,0.14449691772460938,5000,"[1.9999997272192194, 2.2972713105411735, 2.797493416240268, 3.489045146930866, 4.012230914220283, 4.549133554053279, 5.425374671527787, 4.45049530865015, 4.049142032017324, 3.426621315706542]"
S5,BFGS,9,20009,7742.79492191765,7742.564311632575,70320.16388197023,36.496807397106956,2.3305172103924536e-06,8.746857241217092e-05,0.0,True,2286,0.09000110626220703,5000,"[1.9999997272192238, 2.29727131054088, 2.7974934162392877, 3.489045146929124, 4.01223091422855, 4.5491335540284075, 5.425374671545628, 4.4504953086505745, 4.049142032014666, 3.4266213157106113]"
